k,cov,sil,bic,data
2,diag,0.44645848870277405,33020.18608585874,umap
2,tied,0.4455411434173584,33234.71380194805,umap
2,spherical,0.4420550465583801,33196.89097310786,umap
3,tied,0.4269729554653168,32929.29476863221,umap
3,spherical,0.4237935543060303,32890.99480277375,umap
3,diag,0.423600435256958,32686.775467906085,umap
4,diag,0.41337457299232483,32448.25098600842,umap
4,spherical,0.4093625247478485,32593.523653611206,umap
4,tied,0.40399494767189026,32557.682774577228,umap
3,spherical,0.341551251204948,27885.191562777756,pca
3,diag,0.3391256417546497,27838.4360480806,pca
4,diag,0.3341727504329234,27843.49923748655,pca
4,tied,0.3335488195335335,27804.942067866417,pca
4,spherical,0.33118212469109537,27845.416912824163,pca
2,tied,0.32428718147919067,27753.262814168316,pca
2,diag,0.31886855246911905,27812.33771952648,pca
3,tied,0.3116354997252015,27819.588939637953,pca
2,spherical,0.3099050204519913,27886.02127840355,pca
