respondent_id,cluster,max_probability,confidence_category
0,4,0.9573610217648596,High
1,3,0.9926514569112936,High
2,4,0.7973150319671729,Moderate
3,2,0.5685025929645391,Moderate
4,4,0.7046723436605977,Moderate
5,4,0.5070531425720812,Moderate
6,2,0.4116917908329747,Low
7,4,0.3635901509968568,Low
8,1,0.6027862230810227,Moderate
9,2,0.7036755856365652,Moderate
10,2,0.6088863873997948,Moderate
11,0,0.9981502377294796,High
12,2,0.6405101717136752,Moderate
13,2,0.9607705006264585,High
14,4,0.4380593457856785,Low
15,4,0.5077664166673213,Moderate
16,2,0.4980242770541622,Low
17,4,0.7100369970746984,Moderate
18,4,0.5771071785192969,Moderate
19,1,0.3364691891006281,Low
20,0,0.9978467353315893,High
21,0,0.9988011362998213,High
22,2,0.9110516388509363,High
23,2,0.6199692780733711,Moderate
24,2,0.42269220333042573,Low
25,2,0.8170266760267888,High
26,4,0.9102440558690706,High
27,4,0.5382841191948592,Moderate
28,4,0.4971927233487113,Low
29,4,0.47067549714085816,Low
30,4,0.4654288559921191,Low
31,1,0.8417204920263874,High
32,2,0.7921434943767279,Moderate
33,0,0.998497975180546,High
34,0,0.5671948697176618,Moderate
35,1,0.7919083185857957,Moderate
36,1,0.4496100109806278,Low
37,2,0.9066737348675141,High
38,4,0.8548816444403317,High
39,4,0.6162022013378653,Moderate
40,4,0.9050863244936415,High
41,4,0.4260041214921994,Low
42,4,0.6593005968006294,Moderate
43,3,0.9953785103536886,High
44,1,0.5071062998096366,Moderate
45,2,0.7721307236255911,Moderate
46,4,0.6321084342741482,Moderate
47,1,0.5796636480127458,Moderate
48,4,0.5609357103706664,Moderate
49,4,0.8178548059782845,High
50,3,0.9975471053796073,High
51,4,0.46364169377074804,Low
52,2,0.5244602885324763,Moderate
53,4,0.6589787525036347,Moderate
54,4,0.7567600149170737,Moderate
55,3,0.9984109624938968,High
56,4,0.9673363635715595,High
57,3,0.9962120608701911,High
58,1,0.71790061621866,Moderate
59,1,0.7122950433891314,Moderate
60,1,0.6839975601277047,Moderate
61,2,0.764388923618096,Moderate
62,2,0.46483189981795087,Low
63,1,0.6856022786271865,Moderate
64,1,0.42758663624793525,Low
65,2,0.6021619828521676,Moderate
66,4,0.7886782177953297,Moderate
67,0,0.9991159545117921,High
68,1,0.7195950679285438,Moderate
69,0,0.9990040743411146,High
70,4,0.7878470238230012,Moderate
71,4,0.5860780849332773,Moderate
72,2,0.9220809484713385,High
73,1,0.5295200720025426,Moderate
74,1,0.40778970437693896,Low
75,4,0.4678426527133994,Low
76,2,0.48612378382574917,Low
77,4,0.9384405585500719,High
78,0,0.9986761760400341,High
79,2,0.39881005571620237,Low
80,2,0.5064354812428931,Moderate
81,4,0.6770236084231543,Moderate
82,4,0.9256045294786619,High
83,4,0.5094920800540842,Moderate
84,3,0.9966507049758278,High
85,1,0.6297333581428373,Moderate
86,3,0.9971505046194242,High
87,1,0.5139247093042332,Moderate
88,4,0.8121182211087301,High
89,0,0.9984059525078767,High
90,3,0.9978413835384833,High
91,4,0.6712458401263697,Moderate
92,4,0.4809869483442593,Low
93,1,0.5963186006513638,Moderate
94,4,0.47654557450139234,Low
95,0,0.9983579301471615,High
96,2,0.6418648987224244,Moderate
97,0,0.6108116615316747,Moderate
98,0,0.9983275930331497,High
99,1,0.3758980563390749,Low
100,4,0.7856152109665845,Moderate
101,4,0.503223490364033,Moderate
102,2,0.7716758584613262,Moderate
103,4,0.6814618057406739,Moderate
104,4,0.5501479150828686,Moderate
105,0,0.9984032001504762,High
106,4,0.4576192278389614,Low
107,4,0.5614956090000672,Moderate
108,0,0.9975881282535721,High
109,1,0.5827441989697296,Moderate
110,0,0.9988857564678302,High
111,4,0.9134953929578542,High
112,1,0.5161421962507935,Moderate
113,2,0.6687344537165434,Moderate
114,2,0.5562734794920584,Moderate
115,3,0.9978409645924583,High
116,1,0.42794728258652376,Low
117,4,0.5287308503853813,Moderate
118,4,0.6093861655932264,Moderate
119,1,0.4733163661738623,Low
120,4,0.6475931933517874,Moderate
121,2,0.538967897962279,Moderate
122,3,0.9972551517008045,High
123,0,0.9982565989792244,High
124,2,0.40270239787542594,Low
125,4,0.7908133009749393,Moderate
126,4,0.9298431438668089,High
127,1,0.6422653947174154,Moderate
128,3,0.9975163276539972,High
129,2,0.41686284883954866,Low
130,4,0.8500065864077967,High
131,0,0.9979768886086734,High
132,4,0.988982635024503,High
133,1,0.37020956773734975,Low
134,4,0.7403621194857786,Moderate
135,4,0.8913781142847185,High
136,2,0.36669676088238545,Low
137,1,0.6805412922811431,Moderate
138,3,0.9956508227618118,High
139,4,0.5981332039531461,Moderate
140,4,0.9219521816430021,High
141,4,0.7706889259498324,Moderate
142,1,0.7607069521408268,Moderate
143,3,0.9982546218694834,High
144,3,0.9974837391519704,High
145,1,0.7318756403781329,Moderate
146,2,0.4200024485567785,Low
147,4,0.5634977159887224,Moderate
148,0,0.9986003235284762,High
149,2,0.6402690094305621,Moderate
150,1,0.6362282620763144,Moderate
151,1,0.5222318617086552,Moderate
152,4,0.5974086468362865,Moderate
153,4,0.8764801402932387,High
154,4,0.6208343854585747,Moderate
155,3,0.9985266757251748,High
156,4,0.461399270569954,Low
157,1,0.48449557022279316,Low
158,2,0.6119329044712463,Moderate
159,4,0.6259657649840337,Moderate
160,2,0.8273415657986212,High
161,1,0.5573689910845487,Moderate
162,2,0.5642731968312346,Moderate
163,1,0.6313099252520812,Moderate
164,3,0.9973547842590685,High
165,2,0.44909720959523536,Low
166,4,0.9058572503264618,High
167,4,0.9974072761681205,High
168,1,0.7679271864857856,Moderate
169,3,0.9982841480763871,High
170,1,0.8308695832556449,High
171,0,0.9981866792814392,High
172,2,0.47870787770034445,Low
173,4,0.519071953742425,Moderate
174,4,0.9861952820000278,High
175,4,0.9252978161418486,High
176,1,0.7314531599943036,Moderate
177,4,0.4790994052966092,Low
178,4,0.5050676636395652,Moderate
179,4,0.48647966396465353,Low
